 No. , wiki\100012_1948-07-03_2008.jpg
 No. , wiki\1123298_1973-01-05_2012.jpg
 No , wiki\1123337_1974-08-05_2005.jpg
 Yes , wiki\1123413_1978-01-25_2009.jpg
 No , wiki\1123810_1978-05-15_2011.jpg
 Yes , wiki\1123834_1979-02-19_2011.jpg
 No. , wiki\1124078_1939-08-20_2005.jpg
 No , wiki\1125115_1977-08-28_2010.jpg
 No , wiki\1125514_1972-08-25_2007.jpg
 Yes , wiki\1126471_1941-04-09_1966.jpg
 No , wiki\1126535_1976-05-26_2010.jpg
 No. , wiki\1126811_1957-07-23_2004.jpg
 No. , wiki\1126987_1947-05-08_1975.jpg
 No , wiki\1127047_1977-03-11_2002.jpg
 Yes , wiki\1127160_1982-05-10_2013.jpg
 No , wiki\1127668_1927-10-23_1970.jpg
 No , wiki\1128019_1961-08-08_2008.jpg
 No , wiki\1128891_1924-06-23_1954.jpg
 Yes , wiki\1128980_1971-07-22_2014.jpg
 No. , wiki\1129210_1964-02-16_2010.jpg
 No. , wiki\1129462_1972-12-25_2008.jpg
 No. , wiki\1129727_1965-11-19_2013.jpg
 No. , wiki\1130225_1946-10-14_1976.jpg
 No , wiki\1130445_1961-03-27_1993.jpg
 No , wiki\113063_1971-02-25_2009.jpg
 Yes , wiki\1130752_1981-06-08_2012.jpg
 No , wiki\1130754_1940-03-25_1972.jpg
 No. , wiki\1131098_1972-05-22_2012.jpg
 No , wiki\1131264_1957-02-27_1983.jpg
 No, it is not a deepfake. The image appears to be a normal photograph of a person. , wiki\113137_1926-06-01_1958.jpg
 No , wiki\1131450_1943-09-22_2008.jpg
 No, the image is not a deepfake. It appears to be a photo of a person who has been digitally altered, likely through a process such as face-swapping or image manipulation techniques that make it look like someone else. The presence of text on the image indicates that it may have been created for a specific purpose, such as a meme or an advertisement. , wiki\113163_1942-11-01_1994.jpg
 No , wiki\1131781_1929-09-21_1960.jpg
 No , wiki\1132063_1887-09-25_1974.jpg
 No , wiki\1132105_1985-08-30_2013.jpg
 No , wiki\1132159_1977-11-29_2015.jpg
 No, the image does not appear to be a deepfake based on the available information. It looks like a standard photograph of a person. Deepfakes typically attempt to mimic real people by replacing their faces with those of other individuals using artificial intelligence and deep learning techniques. However, this image appears to show a man who may be related to soccer, as suggested by the context provided, but it does not display clear signs of being a deepfake. , wiki\1132421_1972-10-20_2014.jpg
 No , wiki\113296_1953-05-11_2010.jpg
 No. , wiki\1133034_1970-04-28_2013.jpg
 No , wiki\1133084_1969-10-14_2011.jpg
 No , wiki\113328_1963-06-11_1998.jpg
 Yes , wiki\113348_1954-01-12_2012.jpg
 No. , wiki\1133742_1975-04-01_2012.jpg
 Yes , wiki\1134197_1978-04-23_2011.jpg
 No. , wiki\113457_1943-01-09_2009.jpg
 No. , wiki\1134648_1957-05-21_1992.jpg
 No. , wiki\1134660_1968-07-27_2015.jpg
 No. , wiki\113471_1912-01-08_1952.jpg
 No , wiki\1135138_1952-06-21_1975.jpg
 No , wiki\1135923_1951-12-04_1989.jpg
 No , wiki\1136608_1953-11-18_2006.jpg
 No , wiki\113666_1944-08-15_2011.jpg
 No. , wiki\1136916_1918-12-15_1958.jpg
 No. , wiki\1136999_1966-08-25_2007.jpg
 No. , wiki\1137194_1966-01-20_2007.jpg
 No , wiki\1137914_1920-08-24_1945.jpg
 No, the image is not a deepfake. It appears to be an altered photograph rather than a true deepfake, which would require more sophisticated digital manipulation to pass as authentic. The alterations, such as adjusting the colors and contrast, give it away as not being a genuine photograph of the person depicted. , wiki\1137964_1980-07-10_2014.jpg
 No , wiki\1137989_1971-08-22_2007.jpg
 No. , wiki\1138199_1947-09-22_2006.jpg
 No. , wiki\1138200_1963-02-24_2014.jpg
 No , wiki\1138891_1962-06-04_1987.jpg
 No. , wiki\1138903_1936-12-12_1964.jpg
 No , wiki\1139658_1967-10-30_2009.jpg
 No. , wiki\11397_1923-12-15_2005.jpg
 No. , wiki\1140322_1928-07-05_1963.jpg
 No. , wiki\1141387_1908-12-14_1963.jpg
 No , wiki\1141489_1967-05-13_2001.jpg
 No , wiki\1141606_1962-08-19_2014.jpg
 No, the image you provided appears to be an actual photograph of a soccer player in action on the field during a match. The image quality is low, which can sometimes lead to misidentifications or false accusations of being a deepfake, but there are no clear signs of manipulation visible in this photo. , wiki\1142200_1980-03-17_2010.jpg
 No , wiki\1142203_1949-03-03_2008.jpg
 No. , wiki\1142247_1981-05-21_2010.jpg
 No , wiki\1142467_1982-02-17_2009.jpg
 Yes , wiki\1142794_1959-06-10_2012.jpg
 No. , wiki\1142809_1957-12-30_2012.jpg
 No , wiki\1142831_1973-05-17_2003.jpg
 No. , wiki\1144784_1945-02-16_2006.jpg
 No , wiki\1145492_1969-07-13_2009.jpg
 No , wiki\1146033_1957-12-19_2012.jpg
 No. , wiki\1146123_1977-11-24_2015.jpg
 Yes , wiki\1146335_1972-05-25_2009.jpg
 Yes , wiki\1147073_1934-11-26_1976.jpg
 No , wiki\1147343_1945-05-31_2011.jpg
 No. , wiki\1147410_1987-12-19_2012.jpg
 Yes , wiki\1147434_1937-10-20_1970.jpg
 No , wiki\1147931_1936-12-23_1979.jpg
 No. , wiki\1147948_1959-03-23_2014.jpg
 No , wiki\1147964_1971-06-20_2014.jpg
 Yes , wiki\1147993_1970-08-05_2008.jpg
 No , wiki\1148372_1940-04-17_2006.jpg
 No. , wiki\1148639_1963-12-26_2009.jpg
 No. , wiki\1148735_1972-03-04_2005.jpg
 No. , wiki\1148910_1924-03-03_1946.jpg
 No , wiki\1149234_1978-10-03_2010.jpg
 No. , wiki\1149561_1966-02-22_2012.jpg
 No , wiki\1149616_1939-09-10_2010.jpg
 No. , wiki\1149938_1948-02-29_2007.jpg
 Yes , wiki\1150020_1949-04-28_2003.jpg
 No , wiki\1150068_1972-11-17_2010.jpg
 Yes , wiki\1150971_1947-12-20_2012.jpg
 No. , wiki\1151359_1961-04-02_2012.jpg
 Yes , wiki\1151537_1983-10-15_2012.jpg
 No , wiki\1152227_1970-12-01_2012.jpg
 Yes , wiki\1152345_1948-01-05_1977.jpg
 No , wiki\1153026_1959-06-26_2004.jpg
 No , wiki\1153709_1924-06-16_1970.jpg
 No. , wiki\1154568_1969-10-16_2008.jpg
 Yes , wiki\1154589_1974-08-14_2005.jpg
 No, the image does not appear to be a deepfake. It is an image of a man who is likely a professional athlete due to his uniform and the context provided by his expression and the jersey he is wearing. , wiki\1156425_1975-06-15_2011.jpg
 No. , wiki\1156658_1952-03-25_2010.jpg
 Yes , wiki\1157079_1966-11-30_2009.jpg
 No , wiki\1157400_1938-10-01_1961.jpg
 No. , wiki\1157626_1907-04-12_1974.jpg
 No , wiki\1157761_1971-08-31_2007.jpg
 Yes , wiki\1157811_1978-01-19_2007.jpg
 No , wiki\1158171_1972-12-15_2006.jpg
 No, the image you've provided does not show a deepfake. It appears to be a photograph of a person playing an instrument on stage, but without more context it is difficult to determine if there are any unnatural or edited elements in the photo. , wiki\1158513_1956-11-22_2000.jpg
 No. , wiki\1158897_1978-11-22_2013.jpg
 No, the image you've provided does not appear to be a deepfake. It seems to be a real photograph of an individual, likely used for professional purposes such as headshots or promotional materials. Deepfakes involve creating hyper-realistic images that mimic the appearance of real people by combining and altering elements from different sources using artificial intelligence. This image does not show any visible manipulation that would indicate it is a deepfake. , wiki\1159758_1962-07-23_2013.jpg
 No. , wiki\1159959_1957-02-18_2010.jpg
 No , wiki\1160029_1968-03-30_2006.jpg
 No. , wiki\1160050_1889-05-03_1961.jpg
 No, the image is not a deepfake. It is a photograph of three individuals posing for the camera. The image appears to be a real photo rather than a manipulated one intended to deceive about the identities of the people depicted. , wiki\1161575_1944-07-17_1967.jpg
 No , wiki\1162633_1980-11-25_2010.jpg
 No , wiki\1162980_1955-04-02_2010.jpg
 No , wiki\1163228_1972-10-24_2011.jpg
 No. , wiki\1163502_1928-05-18_1959.jpg
 Yes , wiki\1164336_1914-10-20_1965.jpg
 No, the image appears to be of a real person. It is not a deepfake. , wiki\1164815_1977-08-30_2006.jpg
 No , wiki\1165780_1937-08-21_1972.jpg
 No , wiki\1165955_1915-01-13_1971.jpg
 No. , wiki\1166530_1974-07-27_2006.jpg
 No. , wiki\1166612_1976-08-21_2011.jpg
 No , wiki\1166888_1957-07-11_2007.jpg
 No , wiki\1167000_1981-08-18_2012.jpg
 No. , wiki\1167372_1903-08-14_1952.jpg
 No. , wiki\1168740_1939-01-10_2004.jpg
 Yes , wiki\1168980_1966-05-12_2012.jpg
 Yes , wiki\1169423_1935-09-21_1969.jpg
 No. , wiki\1170062_1958-07-12_2011.jpg
 No. , wiki\1170324_1920-10-17_1998.jpg
 No , wiki\1170708_1943-04-29_2012.jpg
 No. , wiki\1170925_1968-10-14_2007.jpg
 Yes , wiki\1171582_1977-09-28_2009.jpg
 No , wiki\1172299_1971-05-03_2007.jpg
 No. , wiki\1172302_1926-11-01_1960.jpg
 No. , wiki\11723_1923-11-04_1987.jpg
 No. , wiki\1172503_1981-08-12_2013.jpg
 No , wiki\1173236_1982-01-17_2010.jpg
 Yes , wiki\1173678_1915-11-14_1946.jpg
 No. , wiki\1174141_1932-11-08_1974.jpg
 No. , wiki\1174350_1972-02-29_2007.jpg
 No. , wiki\1174686_1980-10-26_2010.jpg
 No. , wiki\1174867_1947-04-27_2007.jpg
 No. , wiki\1175663_1964-08-17_2009.jpg
 No. , wiki\1175766_1888-07-04_1941.jpg
 No , wiki\1175864_1922-06-02_1961.jpg
 No. , wiki\1175951_1935-02-02_2013.jpg
 No , wiki\1175993_1942-01-30_2011.jpg
 No. , wiki\1176621_1966-05-16_2010.jpg
 No. , wiki\1176977_1930-01-28_2015.jpg
 No. The image shows a man who appears to be speaking at an event, but it is not a deepfake. The image quality and details indicate that it is a real photograph of a person at a podium. , wiki\1178408_1930-10-09_2010.jpg
 Yes , wiki\1179014_1939-08-20_1991.jpg
 No , wiki\1179077_1926-02-16_1953.jpg
 No. , wiki\1179094_1930-04-24_1990.jpg
 No. , wiki\1179337_1923-06-07_2007.jpg
 No , wiki\1179347_1984-10-10_2013.jpg
 No , wiki\1179390_1973-08-08_2008.jpg
 Yes , wiki\1179477_1894-04-04_1942.jpg
 No , wiki\1179525_1920-12-18_1969.jpg
 No. , wiki\1180042_1930-04-03_1961.jpg
 No , wiki\1180501_1930-09-29_2013.jpg
 No , wiki\1180708_1944-09-25_1973.jpg
 No. , wiki\1180786_1899-04-07_1972.jpg
 No. , wiki\1180892_1959-08-18_2006.jpg
 Yes , wiki\1180946_1954-04-01_1986.jpg
 No. , wiki\1181010_1992-01-19_2013.jpg
 Yes , wiki\1181117_1955-09-28_1991.jpg
 No , wiki\1181499_1938-01-13_2009.jpg
 Yes , wiki\1181653_1981-07-05_2014.jpg
 No , wiki\1181807_1951-11-04_2009.jpg
 No. , wiki\1181966_1930-08-20_2005.jpg
 No. , wiki\1182305_1964-08-10_2013.jpg
 No. , wiki\1182582_1949-08-23_2013.jpg
 No. , wiki\1182594_1946-06-23_1990.jpg
 Yes , wiki\1182657_1966-07-16_2008.jpg
 No, the image you've provided does not appear to be a deepfake. It looks like an edited image of J. Carol Naish from a television show, featuring his character, likely from a scene that includes dialogue attributed to him. , wiki\1182775_1896-01-21_1955.jpg
 Yes , wiki\1183062_1954-06-06_2008.jpg
 No. , wiki\1183163_1979-01-21_2004.jpg
 Yes , wiki\1183613_1957-06-22_1986.jpg
 No. , wiki\118385_1901-05-20_1963.jpg
 Yes , wiki\1184096_1942-06-08_2013.jpg
 Yes , wiki\1184242_1965-07-04_2005.jpg
 No. , wiki\1184354_1920-05-26_1948.jpg
 Yes , wiki\1185786_1940-07-13_2008.jpg
 No , wiki\1185988_1907-11-28_1960.jpg
 Yes , wiki\1186092_1933-07-07_2007.jpg
 No, the image you provided does not appear to be a deepfake. It looks like a standard portrait of a man with a beard. , wiki\1186182_1948-09-01_2009.jpg
 No. , wiki\1186336_1978-03-24_2012.jpg
 No. , wiki\1186354_1983-01-30_2012.jpg
 No , wiki\1186363_1984-06-08_2014.jpg
 No , wiki\1186387_1974-08-04_2003.jpg
 No , wiki\1186767_1911-06-28_1942.jpg
 No. , wiki\1186881_1968-11-12_2008.jpg
 No , wiki\1187318_1949-06-07_2013.jpg
 No , wiki\1187414_1963-11-24_2008.jpg
 No. , wiki\1188014_1942-05-22_2006.jpg
 No, this image is not a deepfake. It appears to be a photograph of a person. Deepfakes are digital images created using artificial intelligence to create realistic depictions of people who do not exist. This photo does not show a person who is not real. , wiki\1188024_1927-07-06_1970.jpg
 No , wiki\1188254_1914-05-03_1945.jpg
 Yes , wiki\1188343_1952-05-10_1979.jpg
 No , wiki\1189612_1980-05-17_2012.jpg
 No. , wiki\1190101_1979-11-13_2010.jpg
 No , wiki\1190282_1808-09-07_2008.jpg
 No , wiki\1191893_1976-05-17_2009.jpg
 No , wiki\1192195_1957-10-15_1976.jpg
 No. , wiki\1192462_1932-01-14_1972.jpg
 No. , wiki\1193288_1941-10-05_2009.jpg
 Yes , wiki\1194572_1893-11-02_1942.jpg
 No , wiki\1194797_1978-04-05_2013.jpg
 No. , wiki\1195139_1951-01-25_2007.jpg
 Yes , wiki\1195302_1941-01-26_2011.jpg
 Yes , wiki\1195350_1942-12-23_2008.jpg
 No , wiki\1195387_1957-09-24_2009.jpg
 No. , wiki\1195441_1982-12-20_2012.jpg
 No , wiki\1195777_1960-05-24_2011.jpg
 No, the image is not a deepfake. It appears to be a real photograph of a person performing on stage. , wiki\1195797_1965-11-20_2007.jpg
 Yes , wiki\1196068_1934-10-13_1966.jpg
 No. , wiki\1196855_1923-06-24_2009.jpg
 No , wiki\1197012_1961-03-08_2010.jpg
 No. , wiki\1197041_1961-09-25_2013.jpg
 No , wiki\1198405_1957-01-05_2008.jpg
 No. , wiki\1198799_1974-04-08_2012.jpg
 No, the image is not a deepfake. It shows a man who appears to be speaking at an event, standing on stage in front of a crowd. Deepfakes are typically created using advanced AI technology to manipulate audio and visual content, resulting in realistic videos of individuals saying things they did not actually say. The image provided does not depict any signs of digital alteration or manipulation that would indicate it is a deepfake. , wiki\1200867_1976-04-03_2010.jpg
 No. , wiki\1201317_1943-10-20_2007.jpg
 No. , wiki\1201329_1965-11-19_2015.jpg
 No. , wiki\1201745_1943-08-27_1960.jpg
 No , wiki\1201767_1909-04-06_1986.jpg
 No, the image is not of a deepfake. It appears to be a photograph of a man standing on what looks like a red carpet, likely taken at an event such as a movie premiere or awards ceremony. The man is wearing a black suit and has short hair, which does not match the characteristics of the actor commonly associated with this particular role. It seems to be a different person who resembles the actor in some way, but it is not a deepfake image. , wiki\1202691_1977-01-28_2009.jpg
 Yes , wiki\1202882_1924-01-03_2014.jpg
 No. , wiki\1202988_1947-05-26_2009.jpg
 No , wiki\1203461_1970-06-17_2015.jpg
 Yes , wiki\1204314_1962-03-03_2003.jpg
 No. , wiki\1205386_1929-05-10_1978.jpg
 No , wiki\1205912_1962-02-09_2014.jpg
 Yes , wiki\1207034_1971-03-25_2014.jpg
 No , wiki\1207082_1975-02-10_2013.jpg
 Yes , wiki\1207548_1976-08-18_2010.jpg
 No , wiki\1208155_1946-09-30_2008.jpg
 No, the image you provided is not a deepfake. It shows a person playing an electric guitar on stage. Deepfakes are digitally altered images or videos that can make people appear to be in places they weren't, often using AI technology to create realistic scenes. The image here shows a real event and a real individual. , wiki\1208294_1969-11-27_2012.jpg
 No. , wiki\1208469_1964-08-05_2007.jpg
 No. , wiki\1208487_1972-02-19_2010.jpg
 Yes , wiki\1208583_1959-11-25_2009.jpg
 No , wiki\1209023_1975-02-16_2014.jpg
 No , wiki\1209613_1948-12-28_2008.jpg
 No , wiki\1210279_1944-02-20_1969.jpg
 Yes , wiki\1210286_1965-06-06_2011.jpg
 No , wiki\1210589_1910-12-17_1946.jpg
 No , wiki\1210893_1889-08-10_1942.jpg
 No , wiki\1212021_1904-11-18_1942.jpg
 No , wiki\1212085_1983-09-08_2005.jpg
 No , wiki\1212268_1971-01-17_2007.jpg
 No , wiki\1212924_1969-01-12_2006.jpg
 No , wiki\1212980_1933-05-13_1957.jpg
 Yes , wiki\1213482_1923-09-13_1943.jpg
 No. , wiki\1213731_1910-09-09_1944.jpg
 No , wiki\1213774_1965-12-22_2013.jpg
 No, the image is of a real person, not a deepfake. The subject appears to be Steve McQueen, who was an actor and racing driver known for his role in the film Le Mans. He passed away in 1980, so any deepfakes would likely use modern actors or CGI to recreate him. , wiki\1213859_1948-11-20_1976.jpg
 No , wiki\1214588_1922-12-06_1943.jpg
 No. , wiki\1214780_1921-10-15_1974.jpg
 No , wiki\1214949_1963-11-05_1977.jpg
 No , wiki\1215095_1920-07-19_1944.jpg
 No , wiki\1215475_1944-07-31_2012.jpg
 No , wiki\1215544_1977-11-15_2012.jpg
 No. , wiki\1215582_1964-06-09_2007.jpg
 No. , wiki\1215694_1949-05-21_2012.jpg
 No , wiki\1216389_1964-09-26_2009.jpg
 No. , wiki\1216791_1963-06-22_2010.jpg
 No , wiki\1217146_1920-03-21_2004.jpg
 No, the image is not a deepfake. It appears to be an authentic photograph of a man. , wiki\1218383_1960-09-08_2008.jpg
 No, this is not a deepfake. It appears to be a regular photo of a person wearing a helmet and a racing suit. , wiki\1218386_1964-03-18_1991.jpg
 Yes , wiki\1218389_1974-02-15_2013.jpg
 No. , wiki\1218722_1914-09-24_1944.jpg
 No , wiki\1218874_1944-02-09_2012.jpg
 Yes , wiki\1218922_1956-01-16_2009.jpg
 Yes , wiki\1219461_1905-01-24_1954.jpg
 No , wiki\1219647_1960-01-06_2000.jpg
 No , wiki\1219719_1957-02-03_2007.jpg
 No. , wiki\1219773_1954-11-14_1982.jpg
 No , wiki\1219785_1963-09-28_2005.jpg
 No , wiki\1220302_1918-04-07_1940.jpg
 Yes , wiki\12209_1912-08-23_1943.jpg
 No , wiki\1221065_1959-10-03_2008.jpg
 Yes , wiki\1221476_1983-08-11_2014.jpg
 No. , wiki\1221655_1926-06-02_1967.jpg
 No , wiki\1221725_1916-10-14_1943.jpg
 No. , wiki\1222043_1905-10-15_1942.jpg
 No, the image provided is not a deepfake. It appears to be a photo of an individual, possibly at a formal event such as a prom or wedding given the attire and background. , wiki\1222229_1979-02-08_2009.jpg
 Yes , wiki\1222276_1934-12-09_1996.jpg
 No , wiki\1222760_1984-02-27_2006.jpg
 No , wiki\1222909_1926-06-10_1946.jpg
 Yes , wiki\12230_1968-02-08_2007.jpg
 No. , wiki\12231_1962-02-07_2015.jpg
 No. , wiki\1223457_1929-10-16_2003.jpg
